id_tarjeta,id_viaje,cantidad_etapas,rango_horario,etapas_subte,etapas_tren,etapas_colectivo,longitud_origen_viaje,latitud_origen_viaje,longitud_destino_viaje,latitud_destino_viaje,departamento_origen_viaje,departamento_destino_viaje,factor_expansion_viaje,etapas_incompletas,genero,grupo_edad
1001,1,1,8,0,0,1,-58.400100,-34.600200,-58.370200,-34.600100,02007,02007,3.5,N,F,30
1002,1,1,8,0,0,1,-58.400300,-34.599900,-58.370100,-34.600300,02007,02007,4.0,N,M,45
1003,1,2,9,1,0,1,-58.399800,-34.600100,-58.370400,-34.599800,02007,02007,2.5,N,F,25
1004,1,1,9,0,0,1,-58.390200,-34.600100,-58.370300,-34.600200,02007,02007,5.0,N,M,35
1005,1,1,17,0,0,1,-58.370100,-34.600200,-58.400200,-34.600100,02007,02007,4.5,N,F,40
1006,1,1,17,0,0,1,-58.370300,-34.599900,-58.400400,-34.600300,02007,02007,3.0,N,M,20
1007,1,1,18,0,0,1,-58.370200,-34.600300,-58.390100,-34.600200,02007,02007,2.0,N,F,55
1008,1,1,8,0,0,1,-58.390400,-34.600300,-58.370500,-34.600400,02007,02007,,N,M,60
1009,1,3,7,1,1,1,-58.400500,-34.600400,-58.370600,-34.600500,02007,02007,1.5,S,F,15
1010,1,1,19,0,0,1,-58.370400,-34.600100,-58.390300,-34.600100,02007,02007,6.0,N,M,50
